cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
67,1000.0,252.4,90.5904,90.5967,90.1699,0.4205,0.4267,0.0063
68,1000.9,287.0,90.5967,90.6030,90.1699,0.4267,0.4330,0.0063
69,1000.6,345.4,90.6029,90.6092,90.1699,0.4330,0.4393,0.0063
70,998.6,325.6,90.6092,90.6155,90.1699,0.4393,0.4455,0.0063
71,1000.1,309.2,90.6155,90.6217,90.1699,0.4455,0.4518,0.0063
72,1005.1,302.4,90.6217,90.6280,90.1699,0.4518,0.4580,0.0063
73,995.9,275.6,90.6280,90.6342,90.1699,0.4580,0.4643,0.0063
74,999.1,264.5,90.6342,90.6405,90.1699,0.4643,0.4706,0.0063
75,999.4,255.5,90.6405,90.6468,90.1699,0.4705,0.4768,0.0063
76,1000.2,262.6,90.6467,90.6530,90.1699,0.4768,0.4831,0.0063
77,1000.1,257.7,90.6530,90.6593,90.1699,0.4831,0.4893,0.0063
78,999.8,274.6,90.6592,90.6655,90.1699,0.4893,0.4956,0.0063
79,1000.2,261.2,90.6655,90.6718,90.1699,0.4956,0.5018,0.0063
80,999.6,258.9,90.6718,90.6780,90.1699,0.5018,0.5081,0.0063
81,1000.1,272.6,90.6780,90.6843,90.1699,0.5081,0.5143,0.0063
82,999.8,249.9,90.6843,90.6905,90.1699,0.5143,0.5206,0.0063
83,1001.1,275.8,90.6905,90.6968,90.1699,0.5206,0.5268,0.0063
84,999.4,256.2,90.6968,90.7030,90.1699,0.5268,0.5331,0.0063
85,999.4,251.0,90.7030,90.7093,90.1699,0.5331,0.5393,0.0063
86,1000.2,268.8,90.7092,90.7155,90.1699,0.5393,0.5456,0.0063
87,1002.7,265.2,90.7155,90.7218,90.1699,0.5455,0.5518,0.0063
88,998.8,268.3,90.7217,90.7280,90.1699,0.5518,0.5581,0.0063
89,998.9,265.0,90.7280,90.7342,90.1699,0.5580,0.5643,0.0063
90,999.5,241.5,90.7342,90.7405,90.1699,0.5643,0.5705,0.0063
91,1000.0,260.5,90.7405,90.7467,90.1699,0.5705,0.5768,0.0063
92,1001.3,269.5,90.7467,90.7530,90.1699,0.5768,0.5830,0.0063
93,1000.7,270.9,90.7530,90.7592,90.1699,0.5830,0.5893,0.0063
94,998.3,299.2,90.7592,90.7655,90.1699,0.5892,0.5955,0.0063
95,999.5,310.0,90.7654,90.7717,90.1699,0.5955,0.6017,0.0063
96,1000.6,269.5,90.7717,90.7779,90.1699,0.6017,0.6080,0.0063
97,999.7,261.2,90.7779,90.7842,90.1699,0.6080,0.6142,0.0063
98,1000.1,273.9,90.7841,90.7904,90.1699,0.6142,0.6205,0.0063
99,999.8,253.3,90.7904,90.7966,90.1699,0.6204,0.6267,0.0063
100,1000.1,263.5,90.7966,90.8029,90.1699,0.6267,0.6329,0.0063
101,1000.1,280.4,90.8028,90.8091,90.1699,0.6329,0.6392,0.0063
102,1001.7,262.0,90.8091,90.8153,90.1699,0.6391,0.6454,0.0063
103,998.6,273.2,90.8153,90.8216,90.1699,0.6454,0.6516,0.0063
104,999.8,267.8,90.8215,90.8278,90.1699,0.6516,0.6578,0.0063
105,1000.9,253.9,90.8278,90.8340,90.1726,0.6552,0.6615,0.0063
106,1002.1,286.1,90.8340,90.8402,90.1868,0.6472,0.6535,0.0063
107,998.5,264.4,90.8402,90.8465,90.2125,0.6278,0.6340,0.0063
108,998.7,262.3,90.8464,90.8527,90.2521,0.5943,0.6006,0.0063
109,999.6,269.2,90.8527,90.8589,90.2972,0.5555,0.5618,0.0063
110,1001.1,258.1,90.8589,90.8651,90.3383,0.5206,0.5269,0.0063
111,999.3,266.3,90.8651,90.8714,90.3707,0.4944,0.5007,0.0063
112,999.9,263.5,90.8713,90.8776,90.3981,0.4732,0.4795,0.0063
113,999.7,259.0,90.8776,90.8838,90.4204,0.4572,0.4634,0.0063
114,999.9,251.6,90.8838,90.8900,90.4423,0.4415,0.4477,0.0063
115,1000.0,252.1,90.8900,90.8962,90.4647,0.4253,0.4316,0.0063
116,1001.3,272.8,90.8962,90.9025,90.4889,0.4073,0.4136,0.0062
