cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
0,0.0,747.4,89.9969,90.0032,89.9969,0.0000,0.0063,0.0063
1,1056.1,355.5,90.0032,90.0095,89.9969,0.0063,0.0126,0.0063
2,1002.8,415.1,90.0095,90.0158,89.9969,0.0126,0.0188,0.0063
3,1009.0,678.5,90.0158,90.0221,89.9969,0.0188,0.0251,0.0063
4,998.3,271.6,90.0221,90.0284,89.9969,0.0251,0.0314,0.0063
5,3561.5,400.8,90.0284,90.0346,89.9969,0.0314,0.0377,0.0063
6,407.2,358.2,90.0346,90.0409,89.9969,0.0377,0.0440,0.0063
7,371.0,385.0,90.0409,90.0472,89.9969,0.0440,0.0503,0.0063
8,387.4,248.1,90.0472,90.0535,89.9969,0.0503,0.0565,0.0063
9,250.5,297.7,90.0535,90.0598,89.9969,0.0565,0.0628,0.0063
10,1020.7,460.6,90.0598,90.0661,89.9969,0.0628,0.0691,0.0063
11,1001.7,359.7,90.0661,90.0723,89.9969,0.0691,0.0754,0.0063
12,1050.3,3329.8,90.0723,90.0786,89.9969,0.0754,0.0817,0.0063
13,3338.1,452.5,90.0786,90.0849,89.9969,0.0817,0.0880,0.0063
14,460.8,314.2,90.0849,90.0912,89.9969,0.0880,0.0942,0.0063
15,318.5,1472.1,90.0912,90.0975,89.9969,0.0942,0.1005,0.0063
16,1475.3,259.5,90.0975,90.1038,89.9969,0.1005,0.1068,0.0063
17,262.6,270.3,90.1038,90.1100,89.9969,0.1068,0.1131,0.0063
18,272.9,256.2,90.1100,90.1163,89.9969,0.1131,0.1194,0.0063
19,779.9,318.9,90.1163,90.1226,89.9969,0.1194,0.1257,0.0063
20,1034.4,311.2,90.1226,90.1289,89.9969,0.1257,0.1319,0.0063
21,999.0,518.4,90.1289,90.1352,89.9969,0.1319,0.1382,0.0063
22,998.1,505.5,90.1352,90.1414,89.9969,0.1382,0.1445,0.0063
23,1000.9,489.3,90.1414,90.1477,89.9969,0.1445,0.1508,0.0063
24,1000.3,347.6,90.1477,90.1540,89.9969,0.1508,0.1571,0.0063
25,999.7,320.4,90.1540,90.1603,89.9969,0.1571,0.1633,0.0063
26,1004.0,355.4,90.1603,90.1666,89.9969,0.1633,0.1696,0.0063
27,987.4,342.3,90.1666,90.1728,89.9969,0.1696,0.1759,0.0063
28,1018.0,320.0,90.1728,90.1791,89.9969,0.1759,0.1822,0.0063
29,992.2,339.3,90.1791,90.1854,89.9969,0.1822,0.1885,0.0063
30,1000.9,317.6,90.1854,90.1917,89.9969,0.1885,0.1947,0.0063
31,999.0,309.3,90.1917,90.1980,89.9969,0.1947,0.2010,0.0063
32,1000.1,326.3,90.1980,90.2042,89.9969,0.2010,0.2073,0.0063
33,999.3,342.8,90.2042,90.2105,89.9969,0.2073,0.2136,0.0063
34,1010.2,327.6,90.2105,90.2168,89.9969,0.2136,0.2198,0.0063
35,3555.5,368.8,90.2168,90.2231,89.9969,0.2198,0.2261,0.0063
36,375.6,332.7,90.2231,90.2293,89.9969,0.2261,0.2324,0.0063
37,335.4,541.4,90.2293,90.2356,89.9969,0.2324,0.2387,0.0063
38,553.6,324.7,90.2356,90.2419,89.9969,0.2387,0.2449,0.0063
39,326.4,256.9,90.2419,90.2482,89.9969,0.2449,0.2512,0.0063
40,844.7,416.4,90.2482,90.2544,89.9969,0.2512,0.2575,0.0063
41,971.1,338.7,90.2544,90.2607,89.9969,0.2575,0.2638,0.0063
42,1036.4,329.3,90.2607,90.2670,89.9969,0.2638,0.2701,0.0063
43,1000.6,348.6,90.2670,90.2733,89.9969,0.2700,0.2763,0.0063
44,993.4,323.8,90.2733,90.2795,89.9969,0.2763,0.2826,0.0063
45,963.2,319.6,90.2795,90.2858,89.9969,0.2826,0.2889,0.0063
46,1032.4,338.4,90.2858,90.2921,89.9969,0.2889,0.2951,0.0063
47,999.8,319.3,90.2921,90.2984,89.9969,0.2951,0.3014,0.0063
48,999.8,562.5,90.2984,90.3046,89.9969,0.3014,0.3077,0.0063
49,1000.5,297.3,90.3046,90.3109,89.9969,0.3077,0.3140,0.0063
50,1000.1,299.2,90.3109,90.3172,89.9969,0.3140,0.3202,0.0063
51,999.2,530.0,90.3172,90.3234,89.9969,0.3202,0.3265,0.0063
52,1000.6,570.7,90.3234,90.3297,89.9969,0.3265,0.3328,0.0063
53,1014.2,620.0,90.3297,90.3360,89.9969,0.3328,0.3390,0.0063
54,986.7,351.1,90.3360,90.3423,89.9969,0.3390,0.3453,0.0063
55,1000.9,583.0,90.3422,90.3485,89.9969,0.3453,0.3516,0.0063
56,961.9,324.1,90.3485,90.3548,89.9969,0.3516,0.3578,0.0063
57,1002.4,327.7,90.3548,90.3611,89.9969,0.3578,0.3641,0.0063
58,1010.8,498.4,90.3611,90.3673,89.9969,0.3641,0.3704,0.0063
59,1024.0,653.2,90.3673,90.3736,89.9969,0.3704,0.3766,0.0063
60,999.0,291.6,90.3736,90.3799,89.9969,0.3766,0.3829,0.0063
61,999.8,312.6,90.3798,90.3861,89.9969,0.3829,0.3892,0.0063
62,1000.0,305.1,90.3861,90.3924,89.9969,0.3892,0.3954,0.0063
63,999.6,333.1,90.3924,90.3986,89.9969,0.3954,0.4017,0.0063
64,999.9,336.2,90.3986,90.4049,89.9969,0.4017,0.4080,0.0063
65,1000.7,643.8,90.4049,90.4112,89.9969,0.4080,0.4142,0.0063
66,1000.1,331.4,90.4112,90.4174,89.9969,0.4142,0.4205,0.0063
67,1000.1,323.4,90.4174,90.4237,89.9969,0.4205,0.4267,0.0063
68,1000.0,312.2,90.4237,90.4300,89.9969,0.4267,0.4330,0.0063
69,999.6,311.5,90.4299,90.4362,89.9969,0.4330,0.4393,0.0063
70,1000.4,302.6,90.4362,90.4425,89.9969,0.4393,0.4455,0.0063
71,1000.2,301.4,90.4425,90.4487,89.9969,0.4455,0.4518,0.0063
72,999.6,313.4,90.4487,90.4550,89.9969,0.4518,0.4580,0.0063
